Start_date,End_date,Fiscal_Year,Session_Name,Session,Session_Type,Term
6/3/2019,6/28/2019,2019-2020,Summer Session I,Yes,Summer,Summer
6/29/2019,6/30/2019,2019-2020,Summer Break I,No,Break,Summer
7/1/2019,7/26/2019,2019-2020,Summer Session II,Yes,Summer,Summer
7/27/2019,9/3/2019,2019-2020,Summer Break II,No,Break,Summer
9/4/2019,10/18/2019,2019-2020,Fall Semester,Yes,Fall,Fall
10/19/2019,10/23/2019,2019-2020,Fall Break,No,Break,Fall
10/24/2019,11/26/2019,2019-2020,Fall Semester,Yes,Fall,Fall
11/27/2019,12/1/2019,2019-2020,Thanksgiving Break,No,Break,Fall
12/2/2019,12/19/2019,2019-2020,Fall Semester,Yes,Fall,Fall
12/20/2019,1/5/2020,2019-2020,Christmas Break,No,Break,Fall
1/6/2020,1/29/2020,2019-2020,J-term,Yes,J-term,J-term
1/30/2020,2/4/2020,2019-2020,J-term Break,No,Break,J-term
2/5/2020,3/20/2020,2019-2020,Spring Semester,Yes,Spring,Spring
3/21/2020,3/29/2020,2019-2020,Spring Break,No,Break,Spring
3/30/2020,5/21/2020,2019-2020,Spring Semester,Yes,Spring,Spring
5/21/2020,5/31/2020,2019-2020,End of year Break,No,Break,Spring
6/4/2018,6/29/2018,2018-2019,Summer Session I,Yes,Summer,Summer
6/30/2018,7/1/2018,2018-2019,Summer Break I,No,Break,Summer
7/2/2018,7/27/2018,2018-2019,Summer Session II,Yes,Summer,Summer
7/28/2018,8/28/2018,2018-2019,Summer Break II,No,Break,Summer
8/29/2018,10/10/2018,2018-2019,Fall Semester,Yes,Fall,Fall
10/11/2018,10/16/2018,2018-2019,Fall Break,No,Break,Fall
10/17/2018,11/20/2018,2018-2019,Fall Semester,Yes,Fall,Fall
11/21/2018,11/25/2018,2018-2019,Thanksgiving Break,No,Break,Fall
11/26/2018,12/13/2018,2018-2019,Fall Semester,Yes,Fall,Fall
12/14/2018,1/6/2019,2018-2019,Christmas Break,No,Break,Fall
1/7/2019,1/30/2019,2018-2019,J-term,Yes,J-term,J-term
1/31/2019,2/5/2019,2018-2019,J-term Break,No,Break,J-term
2/6/2019,3/22/2019,2018-2019,Spring Semester,Yes,Spring,Spring
3/23/2019,3/31/2019,2018-2019,Spring Break,No,Break,Spring
4/1/2019,5/17/2019,2018-2019,Spring Semester,Yes,Spring,Spring
5/18/2019,6/2/2019,2018-2019,End of year Break,No,Break,Spring
5/30/2017,6/23/2017,2017-2018,Summer Session I,Yes,Summer,Summer
6/24/2017,6/25/2017,2017-2018,Summer Break I,No,Break,Summer
6/26/2017,7/21/2017,2017-2018,Summer Session II,Yes,Summer,Summer
7/22/2017,8/29/2017,2017-2018,Summer Break II,No,Break,Summer
8/30/2017,10/12/2017,2017-2018,Fall Semester,Yes,Fall,Fall
10/13/2017,10/16/2017,2017-2018,Fall Break,No,Break,Fall
10/17/2017,11/21/2017,2017-2018,Fall Semester,Yes,Fall,Fall
11/22/2017,11/26/2017,2017-2018,Thanksgiving Break,No,Break,Fall
11/27/2017,12/14/2017,2017-2018,Fall Semester,Yes,Fall,Fall
12/15/2017,1/7/2018,2017-2018,Christmas Break,No,Break,Fall
1/8/2018,1/31/2018,2017-2018,J-term,Yes,J-term,J-term
2/1/2018,2/7/2018,2017-2018,J-term Break,No,Break,J-term
2/8/2018,3/23/2018,2017-2018,Spring Semester,Yes,Spring,Spring
3/24/2018,4/2/2018,2017-2018,Spring Break,No,Break,Spring
4/3/2018,5/24/2018,2017-2018,Spring Semester,Yes,Spring,Spring
5/25/2018,6/3/2018,2017-2018,End of year Break,No,Break,Spring
5/31/2016,6/24/2016,2016-2017,Summer Session I,Yes,Summer,Summer
6/25/2016,6/26/2016,2016-2017,Summer Break I,No,Break,Summer
6/27/2016,7/22/2016,2016-2017,Summer Session II,Yes,Summer,Summer
7/23/2016,8/30/2016,2016-2017,Summer Break II,No,Break,Summer
8/31/2016,10/13/2016,2016-2017,Fall Semester,Yes,Fall,Fall
10/14/2016,10/17/2016,2016-2017,Fall Break,No,Break,Fall
10/18/2016,11/22/2016,2016-2017,Fall Semester,Yes,Fall,Fall
11/23/2016,11/27/2016,2016-2017,Thanksgiving Break,No,Break,Fall
11/28/2016,12/15/2016,2016-2017,Fall Semester,Yes,Fall,Fall
12/16/2016,1/2/2017,2016-2017,Christmas Break,No,Break,Fall
1/3/2017,1/26/2017,2016-2017,J-term,Yes,J-term,J-term
1/27/2017,1/31/2017,2016-2017,J-term Break,No,Break,J-term
2/1/2017,3/17/2017,2016-2017,Spring Semester,Yes,Spring,Spring
3/18/2017,3/26/2017,2016-2017,Spring Break,No,Break,Spring
3/27/2017,5/18/2017,2016-2017,Spring Semester,Yes,Spring,Spring
5/19/2017,5/29/2017,2016-2017,End of year Break,No,Break,Spring
1/4/2016,1/27/2016,2015-2016,J-term,Yes,J-term,J-term
1/28/2016,2/3/2016,2015-2016,J-term Break,No,Break,J-term
2/4/2016,3/18/2016,2015-2016,Spring Semester,Yes,Spring,Spring
3/19/2016,3/28/2016,2015-2016,Spring Break,No,Break,Spring
3/29/2016,5/19/2016,2015-2016,Spring Semester,Yes,Spring,Spring
5/20/2016,5/30/2016,2015-2016,End of year Break,No,Break,Spring